word,category,meanings,is
अध्यापक,सङ्.  ना.,पढाउने व्यक्ति,SSII
अध्यापन,असङ्.  ना.,पढाउने काम,SSII
अध्याय,ना.,"पुस्तकको विषय अनुसार छुट्याइएको खण्ड
एक किसिमको घटना, प्रसङ्ग आदि भएको समयको एउटा खण्ड",SSI
अनभिज्ञ,गुवा.  वि.,कुनै कुराको जानकारी नभएको,IISI
अनवरत,काल.  वि.,निरन्तर रुपमा चलीरहेको,IIIII
अनशन,असङ्.  ना.,भोकै बस्ने काम; भोकै बसेर गरिने एक किसिमको हडताल,IIII
अनसन,ना.,भोकै बसेर गरिने एक किसिमको हडताल,IIII
अनाज,सङ्.  ना.,"धान, मकै, आदि अन्न; खाद्यान्न",ISI
अनायास,क्रियो.,कुनै योजना विना वा सोचविचार गर्दै नगरीकन; अचानक; अकस्मात,ISSI
अनाहक,क्रियो.,कसुर नभइकन; बिनाकाममा,ISII
अनि,नि.,"बोल्दाबोल्दै कुनै कुरो अधुरो भएमा सुन्ने व्यक्तिले अझ बढी स्पष्टीकरणको लागि प्रयोग गर्ने शब्द
एउटा अवस्थापछि अर्को अवस्था आरम्भ भएको जनाउने शब्द
दुईवटा शब्द, पद वा वाक्यांशलाई जोड्न प्रयोग हुने शब्द",II
अनिकाल,असङ्.  ना.,कुनै कारणले खानेकुराको अभावले भोकमरी भएको अवस्था,IISI
अनिवार्य,गुवा.  वि.,कुनै पनि हालमा गर्नै वा हुनै पर्ने; नभई नहुने; विकल्प नभएको,IISI
अनुनय,असङ्.  ना.,विनम्र अनुरोध; बिन्ती,IIII
अनुपात,असङ्.  ना.,कुनै दुईवटा वस्तुको तुलना गर्दा एउटा अर्काको सन्दर्भमा कतिले धेरै थोरै छ भन्ने जनाउने शब्द; दाँजो; सापेक्ष,IISI
अनुभव,ना.,विगतमा भोगेको वा गरेको कामबाट प्राप्त भएको ज्ञान,IIII
अनुभूत,वि.,अनुभव गरेको,IISI
अनुमोदन,ना.,कुनै व्यक्ति वा निकायले गरेको काममा दिइने औपचारिक सहमति,IISII
अनुयायी,ना.,"व्यक्ति, धर्म वा कुनै विचारको अनुसरण गरेर त्यसको मूल्य-मान्यता अनुसार चल्ने व्यक्ति",IISS
अनुरोध,ना.,"कसैका सामु विनम्रतापूर्वक गरिने निवेदन, आग्रह वा प्रार्थना",IISI
अनुसरण,असङ्.  ना.,"अरूले भनेको जस्तै वा गरेको जस्तै गर्ने काम
प्रयोग वा उपयोग गर्ने काम",IIIII
अनुसार,नायो.,"अगाडिको प्रसङ्गमा उल्लेख भए बमोजिम
कसैले वा केहीले भने वा गरे सरह भएको",IISI
अनुहार,सङ्.  ना.,"घाँटीदेखि माथि नाक, मुख, आँखा आदि अङ्ग समेत टाउकाको अगाडिको भाग
कुनै वस्तुको अघिल्लो भाग वा बाहिरबाट देखिने स्वरूप",IISI
अनेक,वि.,विविध; विभिन्न; धेरै,ISI
अनौठो,वि.,सामान्य रूपले हुनुपर्ने वा सोचेको भन्दा फरक; अचम्मको,ISS
अन्त,स्था.  क्रियो.,"अर्को ठाउँमा
सबैभन्दा पछिल्लो  समय वा स्थान
सकिने काम; सकिएको अवस्था",SI
अन्तःशुल्क,ना.,वस्तुको उत्पादन वा आयात गरे बापत लाग्ने एक किसिमको कर,SSSI
अन्ततः,निवा.  क्रियो.,अन्तिममा,SIS
